title,description,link,text,category,predicted_category
US justice department drops probe into Fed chairman Jerome Powell,President Donald Trump had accused Powell of improper cost overruns in renovating the Fed's building.,https://www.bbc.com/news/articles/cdxd1v0028vo?at_medium=RSS&at_campaign=rss,justice department drop probe fed chairman jerome powell president donald trump accuse powell improper cost overrun renovate fed building,economic,political
"Stock markets are too high and set to fall, says Bank of England deputy",It is unusual for a senior figure at the Bank to be so forthright on market movements.,https://www.bbc.com/news/articles/c75kp1y43lgo?at_medium=RSS&at_campaign=rss,stock market high set fall say bank england deputy unusual senior figure bank forthright market movement,economic,economic
"How much money does the UK government borrow, and why does it matter?",The UK government borrows to fund day-to-day spending as well as long-term infrastructure projects.,https://www.bbc.com/news/articles/c4g2rky498wo?at_medium=RSS&at_campaign=rss,money government borrow matter government borrow fund day day spending long term infrastructure project,economic,economic
UK borrowing lowest for three years but Iran war clouds outlook,"The improvement in government finances is unlikely to last, analysts say, with the impact of the Iran way yet to hit.",https://www.bbc.com/news/articles/ckge5291152o?at_medium=RSS&at_campaign=rss,borrow low year iran war clouds outlook improvement government finance unlikely analyst impact iran way hit,economic,political
The Briefing Room,How has the US-Israel war with Iran affected the global economy?,https://www.bbc.co.uk/sounds/play/m002vcbj?at_medium=RSS&at_campaign=rss,briefing room israel war iran affect global economy,economic,political
Inflation: What do price increases mean for you?,"Prices went up by 3.3% in March, but what does that mean for you asks the BBC's Colletta Smith.
",https://www.bbc.com/news/videos/cx2wdnnjp3go?at_medium=RSS&at_campaign=rss,inflation price increase mean price march mean ask bbc colletta smith,economic,economic
Three ways the latest inflation figures affect you ,How high could inflation get? And what could it mean for borrowers and savers around the country?,https://www.bbc.com/news/articles/c75k002qkzno?at_medium=RSS&at_campaign=rss,way late inflation figure affect high inflation mean borrower saver country,economic,economic
UK inflation rises after Iran war pushes up fuel prices,The figures provide the first official look at the impact of the Iran war on the cost of living in the UK.,https://www.bbc.com/news/articles/cnv8l17r51ro?at_medium=RSS&at_campaign=rss,inflation rise iran war push fuel price figure provide official look impact iran war cost live,economic,political
From Epstein to sock puppets: Key takeaways from Kevin Warsh's Fed confirmation hearing,"He denied making a deal with Donald Trump on interest rates and backed ""policy regime change"" at the central bank.",https://www.bbc.com/news/articles/c8dl3ez4mpno?at_medium=RSS&at_campaign=rss,epstein sock puppet key takeaway kevin warsh fed confirmation hearing deny make deal donald trump interest rate back policy regime change central bank,economic,political
Unemployment rate unexpectedly falls as fewer students look for work,The drop has been largely driven by a rise in the number of people not actively seeking work.,https://www.bbc.com/news/articles/cjd84pkkjgpo?at_medium=RSS&at_campaign=rss,unemployment rate unexpectedly fall few student look work drop largely drive rise number people actively seek work,economic,economic
What people in power think the impact of the Iran war will be,Faisal Islam talks to some of the world's most powerful people about the conflict and the economy.,https://www.bbc.com/news/articles/c9vl37eev7ko?at_medium=RSS&at_campaign=rss,people power think impact iran war faisal islam talk world powerful people conflict economy,economic,political
Man arrested for selling Morgan McSweeney's stolen phone,McSweeney was the prime minister's chief of staff in October 2025 when his government phone was stolen in London. ,https://www.bbc.com/news/articles/cpvp48x2d70o?at_medium=RSS&at_campaign=rss,man arrest sell morgan mcsweeney steal phone mcsweeney prime minister chief staff october government phone steal london,political,political
When will the elections results come in?,"In Scotland and Wales counting will begin on Friday, while in England results are expected to start coming overnight.",https://www.bbc.com/news/videos/cj4pn97qvlwo?at_medium=RSS&at_campaign=rss,election result come scotland wale counting begin friday england result expect start come overnight,political,economic
Starmer tells civil servants to speak 'truth to power' after vetting row,The PM writes to civil servants following tensions over the sacking of former Foreign Office boss Sir Olly Robbins.,https://www.bbc.com/news/articles/c5y09gl1282o?at_medium=RSS&at_campaign=rss,starmer tell civil servant speak truth power vet row write civil servant follow tension sacking foreign office boss sir olly robbin,political,economic
Two people arrested after BBC asylum investigation,A BBC report revealed some immigration advisers are helping asylum seekers pretend to be gay to stay in the country.,https://www.bbc.com/news/articles/cg7p09p2evxo?at_medium=RSS&at_campaign=rss,people arrest bbc asylum investigation bbc report reveal immigration adviser help asylum seeker pretend gay stay country,political,political
Curious canines and patient pups - it's dogs at polling stations,Pictures of dogs at polling stations are now a part of election day - here are some of the best we have seen.,https://www.bbc.com/news/articles/cpqp2y71r2go?at_medium=RSS&at_campaign=rss,curious canine patient pup dog polling station picture dog polling station election day good see,political,political
"Postal vote error leaves 1,300 people without ballot papers ahead of Senedd election","After first blaming Royal Mail, Cardiff council now says some ballot packs have not been printed.",https://www.bbc.com/news/articles/cdjpy3xk3v2o?at_medium=RSS&at_campaign=rss,postal vote error leave people ballot paper ahead senedd election blame royal mail cardiff council say ballot pack print,political,political
People urged not to cancel flights over fuel shortage fears,"Airlines have cut 13,000 flights globally in May as jet fuel prices soar due to the conflict in the Middle East.",https://www.bbc.com/news/articles/cyv24v3mpdmo?at_medium=RSS&at_campaign=rss,people urge cancel flight fuel shortage fear airline cut flight globally jet fuel price soar conflict middle east,political,economic
Polanski says he was wrong to claim he was a Red Cross spokesman,The Green Party leader tells the BBC he hosted fundraisers for the charity but had not used the right word when describing his role.,https://www.bbc.com/news/articles/cq5pgv35y7eo?at_medium=RSS&at_campaign=rss,polanski say wrong claim red cross spokesman green party leader tell bbc host fundraiser charity right word describe role,political,political
"All of society must tackle 'crisis' of antisemitism, Starmer says","The PM hosts a summit of leaders from the police, arts and universities, after a spate of attacks against British Jews.",https://www.bbc.com/news/articles/czd2l55d1e7o?at_medium=RSS&at_campaign=rss,society tackle crisis antisemitism starmer say host summit leader police art university spate attack british jews,political,political
"No obligation to declare £5m gift, Farage says","The Reform UK leader says the gift was ""purely private"" and ""wasn't political in any sense at all"".",https://www.bbc.com/news/articles/c8jv8xl17l8o?at_medium=RSS&at_campaign=rss,obligation declare gift farage say reform leader say gift purely private wasn political sense,political,political
"UK joining Ukraine loan scheme would be good for EU ties, Starmer says","The UK is ""discussing participating"" in a £78bn (€90bn) European Union loan scheme to support Ukraine, the prime minister says.",https://www.bbc.com/news/articles/c1420e1p1l0o?at_medium=RSS&at_campaign=rss,join ukraine loan scheme good ties starmer say discuss participate european union loan scheme support ukraine prime minister say,political,political
Reform pledges to open migrant detention centres in Green-voting areas,"The Green Party has accused Reform of ""making abhorrent announcements in attempts to distract voters"".",https://www.bbc.com/news/articles/c362e9p385yo?at_medium=RSS&at_campaign=rss,reform pledge open migrant detention centre green voting area green party accuse reform make abhorrent announcement attempt distract voter,political,political
Polanski says police 'should not be above scrutiny' over Golders Green response,"The Green Party leader says he apologised for reposting a tweet criticising the officers' response because it was ""not the appropriate forum"".",https://www.bbc.com/news/articles/c78q6w1vzz7o?at_medium=RSS&at_campaign=rss,polanski say police scrutiny golder green response green party leader say apologise reposte tweet criticise officer response appropriate forum,political,political
Tories pledge to tighten household benefit cap rules,The party says removing some exemptions to the household benefit cap would save £1bn a year.,https://www.bbc.com/news/articles/cm2pm41z1nxo?at_medium=RSS&at_campaign=rss,tory pledge tighten household benefit cap rule party say remove exemption household benefit cap save year,political,political
Will an M4 relief road ever be given the green light?,Wales' Senedd election has seen the potential for an M4 relief road return as a political issue.,https://www.bbc.com/news/articles/cdrm7gep306o?at_medium=RSS&at_campaign=rss,relief road give green light wales senedd election see potential relief road return political issue,political,political
Reform candidate brands Banks' comment racist,"Arron Banks posted ""Welsh lad?"" on X in response to a Plaid Cymru video fronted by a black community organiser.",https://www.bbc.com/news/articles/clypnwljxl2o?at_medium=RSS&at_campaign=rss,reform candidate brand bank comment racist arron bank post welsh lad response plaid cymru video front black community organiser,political,economic
"Protests may need to be stopped in some cases, PM suggests","The PM tells the BBC he is concerned about the ""cumulative"" effect of marches on the Jewish community.",https://www.bbc.com/news/articles/cj9pn2v7m2wo?at_medium=RSS&at_campaign=rss,protest need stop case suggest tell bbc concerned cumulative effect march jewish community,political,social
"UK should not keep changing prime ministers, warns John Major",The former Tory PM tells the BBC political leaders are letting young people down by failing to tackle long-term problems.,https://www.bbc.com/news/articles/cgepy0xw1nzo?at_medium=RSS&at_campaign=rss,change prime minister warn john major tory tell bbc political leader let young people fail tackle long term problem,political,political
Kemi Badenoch apologises after Bloody Sunday footage used in video, Foyle MP Colum Eastwood called on Badenoch to personally apologise after the video was posted online.,https://www.bbc.com/news/articles/cx21n5kx4d9o?at_medium=RSS&at_campaign=rss,kemi badenoch apologise bloody sunday footage video foyle colum eastwood call badenoch personally apologise video post online,political,sport
Greens pledge £15 minimum wage for all workers,The party accuses the Labour government of watering down its promises on workers' rights.,https://www.bbc.com/news/articles/cdjp338ydlgo?at_medium=RSS&at_campaign=rss,greens pledge minimum wage worker party accuse labour government water promise worker right,political,economic
"Pro-Palestinian marches have been hijacked, says minister","But Alex Davies-Jones says further restrictions must be balanced against the ""fundamental right"" to protest.",https://www.bbc.com/news/articles/cddp0021pq4o?at_medium=RSS&at_campaign=rss,pro palestinian march hijack say minister alex davies jones say restriction balance fundamental right protest,political,political
Restore Britain party refunds crypto project's donations,A Labour MP raised concerns about the donations with the Electoral Commission.,https://www.bbc.com/news/articles/clypvwjjlgzo?at_medium=RSS&at_campaign=rss,restore britain party refund crypto project donation labour raise concern donation electoral commission,political,political
Polanski apologises for sharing post criticising police,The Green leader was facing a growing backlash for appearing to back criticism of arresting officers.,https://www.bbc.com/news/articles/cp8p7k4k8xno?at_medium=RSS&at_campaign=rss,polanski apologise share post criticise police green leader face grow backlash appear criticism arrest officer,political,political
Elections watchdog considers looking into £5m gift to Farage,Reform UK mega donor Christopher Harborne gave the money to Nigel Farage in early 2024.,https://www.bbc.com/news/articles/c62xg40w4ero?at_medium=RSS&at_campaign=rss,election watchdog consider look gift farage reform mega donor christopher harborne give money nigel farage early,political,economic
Two Green Party candidates arrested over alleged antisemitic online posts,"The two women remain in police custody, according to the Metropolitan Police.",https://www.bbc.com/news/articles/cd6pqz3dz7po?at_medium=RSS&at_campaign=rss,green party candidate arrest allege antisemitic online post woman remain police custody accord metropolitan police,political,political
"Kemi Badenoch use of Bloody Sunday footage 'disgusting', says MP",The footage of soldiers on Bloody Sunday appeared in a Conservative Party video opposing reforms to the Legacy Act.,https://www.bbc.com/news/articles/c1l2gnvd0lgo?at_medium=RSS&at_campaign=rss,kemi badenoch use bloody sunday footage disgusting say footage soldier bloody sunday appear conservative party video oppose reform legacy act,political,political
"What you need to know about the elections in England, Scotland and Wales","Millions will vote in parliamentary elections in Scotland and Wales, and local elections in England.",https://www.bbc.com/news/articles/c62nq678nyzo?at_medium=RSS&at_campaign=rss,need know election england scotland wale million vote parliamentary election scotland wale local election england,political,political
Who can I vote for in my area?,Elections are taking place across the UK. Find out whether there is one where you live and who you can vote for. ,https://www.bbc.com/news/articles/c0ljrp76ywxo?at_medium=RSS&at_campaign=rss,vote area election take place find live vote,political,political
What the Renters' Rights Act means for tenants and landlords,The biggest shake up of renting rules in England for 30 years affects millions of people.,https://www.bbc.com/news/articles/cqjwqp72y7ro?at_medium=RSS&at_campaign=rss,renter right act mean tenant landlord big shake renting rule england year affect million people,political,political
Do I need a photo ID and my polling card to vote in the elections?,Voters in England only will have to show photo ID while polling cards are not essential.,https://www.bbc.com/news/articles/czjg288xk93o?at_medium=RSS&at_campaign=rss,need photo polling card vote election voter england photo polling card essential,political,political
Has the royal state visit saved the special relationship?,BBC's Sarah Smith looks at whether King Charles' charm offensive with President Trump made a difference to US-UK relations.,https://www.bbc.com/news/videos/cgmpgkj2wz4o?at_medium=RSS&at_campaign=rss,royal state visit save special relationship bbc sarah smith look king charles charm offensive president trump difference relation,political,political
"My tenant owes £15,000 in rent, but I can't get them out of the property",Landlords tell BBC News why they fear new laws could make it harder to remove problematic tenants. ,https://www.bbc.com/news/articles/c30r5z3vdydo?at_medium=RSS&at_campaign=rss,tenant owe rent property landlord tell bbc news fear new law hard remove problematic tenant,political,political
Find out how your MP voted on Mandelson vetting inquiry,Check whether your MP voted for or against a parliamentary investigation into whether the PM misled the Commons.,https://www.bbc.com/news/articles/c4g8d38d17yo?at_medium=RSS&at_campaign=rss,find vote mandelson vetting inquiry check vote parliamentary investigation mislead common,political,political
Key points as MPs question ex-senior aide about Mandelson appointment,Former top Foreign Office civil servant Sir Philip Barton and ex-No 10 chief of staff Morgan McSweeney are answering MPs' questions. ,https://www.bbc.com/news/articles/cn8p7vn759xo?at_medium=RSS&at_campaign=rss,key point question senior aide mandelson appointment foreign office civil servant sir philip barton chief staff morgan mcsweeney answer question,political,political
Will King's US visit lead to lasting reset in relations with UK?,"As applause fades and banquet plates are cleared, it's up to politicians to build on Charles's historic trip.",https://www.bbc.com/news/articles/cwy2xyvx109o?at_medium=RSS&at_campaign=rss,king visit lead last reset relation applause fade banquet plate clear politician build charles historic trip,political,sport
The assisted dying bill has failed - but the debate isn't over,In June 2025 MPs backed the legislation but now it has run out of time to become law.,https://www.bbc.com/news/articles/cm2k59l2l02o?at_medium=RSS&at_campaign=rss,assisted die bill fail debate isn june back legislation run time law,political,political
Falklands is a pressure point for the UK – and the US knows it,"This story will make greater waves in the UK than in the US, which for Donald Trump is an opportunity for leverage, Joe Inwood writes.",https://www.bbc.com/news/articles/cly7w3zjl38o?at_medium=RSS&at_campaign=rss,falkland pressure point know story great wave donald trump opportunity leverage joe inwood write,political,political
"Waiting lists apology, cost of living and more powers in election debate",The NHS and childcare are two of the main topics debated by political leaders in Carmarthen.,https://www.bbc.com/news/articles/c9wqzekxvlqo?at_medium=RSS&at_campaign=rss,waiting list apology cost live power election debate nhs childcare main topic debate political leader carmarthen,political,political
Key takeaways from senior official on Mandelson vetting,"Cat Little, the top official at the Cabinet Office, tells MPs ""due process"" was followed in the appointment.",https://www.bbc.com/news/articles/cy91387ljeeo?at_medium=RSS&at_campaign=rss,key takeaway senior official mandelson vetting cat little official cabinet office tell process follow appointment,political,political
Labour MPs are increasingly restless – but aren't ready to oust Starmer yet,"Labour MPs say that while the prime minister is unpopular, a contest is unlikely as there isn't a candidate ready to replace him.",https://www.bbc.com/news/articles/c78lp5jw8yxo?at_medium=RSS&at_campaign=rss,labour increasingly restless aren ready oust starmer labour prime minister unpopular contest unlikely isn candidate ready replace,political,economic
Key evidence from sacked official at heart of Mandelson vetting row,Sir Olly Robbins has defended his actions amid a row over the vetting of the former US ambassador.,https://www.bbc.com/news/articles/cdxk5e570qxo?at_medium=RSS&at_campaign=rss,key evidence sack official heart mandelson vetting row sir olly robbin defend action amid row vetting ambassador,political,political
What does devolution mean and how does it work across the UK?,"Since the 1990s, devolved governments across the UK have worked alongside the Westminster Parliament.",https://www.bbc.com/news/articles/czd7zl7g15po?at_medium=RSS&at_campaign=rss,devolution mean work devolve government work alongside westminster parliament,political,economic
Henry Zeffman: Robbins's revelations are a dangerous moment for PM,Drawing a line under Lord Mandelson's appointment is proving impossible for the prime minister.,https://www.bbc.com/news/articles/c895jpwl9gpo?at_medium=RSS&at_campaign=rss,henry zeffman robbin revelation dangerous moment draw line lord mandelson appointment prove impossible prime minister,political,political
What we know about Mandelson's vetting and security clearance,The former US ambassador was given a security clearance despite concerns being raised during checks.,https://www.bbc.com/news/articles/cj0n5700nrpo?at_medium=RSS&at_campaign=rss,know mandelson vetting security clearance ambassador give security clearance despite concern raise check,political,economic
Key points from Starmer's Mandelson statement,The prime minister has been back in the Commons after it emerged the Labour peer failed vetting.,https://www.bbc.com/news/articles/cjd8448m959o?at_medium=RSS&at_campaign=rss,key point starmer mandelson statement prime minister common emerge labour peer fail vetting,political,economic
Why Starmer still can't move on from the Mandelson mess,The decision to send Peter Mandelson to Washington has become a scandal that just won't go away for Labour.,https://www.bbc.com/news/articles/c4gd7kxdk37o?at_medium=RSS&at_campaign=rss,starmer mandelson mess decision send peter mandelson washington scandal win away labour,political,sport
What could Reading's housing situation look like?,"With local elections taking place in Reading on Thursday, housing issues loom large for voters.",https://www.bbc.com/news/videos/cp8pvnmke3zo?at_medium=RSS&at_campaign=rss,read housing situation look like local election take place read thursday housing issue loom large voter,political,political
Can you pronounce your constituency?,Constituency names in the Senedd election are all in Welsh. Can you pronounce them?,https://www.bbc.com/news/videos/cj3pmn80720o?at_medium=RSS&at_campaign=rss,pronounce constituency constituency name senedd election welsh pronounce,political,political
Election tram talk: Midlands Metro passengers on homelessness and shops,Passengers on the tram system in Wolverhampton deliver their thoughts ahead of polling day on 7 May.,https://www.bbc.com/news/videos/cx21kewyygwo?at_medium=RSS&at_campaign=rss,election tram talk midland metro passenger homelessness shop passenger tram system wolverhampton deliver thought ahead polling day,political,economic
How worried should we be about hantavirus?,Some passengers potentially exposed to hantavirus have already taken flights to numerous countries.,https://www.bbc.com/news/articles/c98r199e195o?at_medium=RSS&at_campaign=rss,worried hantavirus passenger potentially expose hantavirus take flight numerous country,social,economic
Hantavirus-hit cruise ship on way to Canary Islands after three evacuated,A British man is among three evacuees sent to the Netherlands after displaying symptoms while aboard the MV Hondius.,https://www.bbc.com/news/articles/c5y093d5n9ko?at_medium=RSS&at_campaign=rss,hantavirus hit cruise ship way canary island evacuate british man evacuee send netherlands display symptom aboard hondius,social,social
What is hantavirus and how does it spread? ,"The Andes strain of the virus, which can rarely be passed from person to person,  has been confirmed in some passengers. ",https://www.bbc.com/news/articles/c8r8j1l6j0go?at_medium=RSS&at_campaign=rss,hantavirus spread ande strain virus rarely pass person person confirm passenger,social,social
Cruise passengers tell of life on board stranded ship after hantavirus outbreak,"While passengers onboard the MV Hondius say the situation is calm, they face days at sea as officials warn the disease may have spread.",https://www.bbc.com/news/articles/clype7ededzo?at_medium=RSS&at_campaign=rss,cruise passenger tell life board strand ship hantavirus outbreak passenger onboard hondius situation calm face day sea official warn disease spread,social,social
Hantavirus strain that spreads between humans found in cruise ship passengers,South Africa's health ministry said the Andes strain of the virus was found in two confirmed cases linked to the outbreak. ,https://www.bbc.com/news/articles/ce8pypvjx1ko?at_medium=RSS&at_campaign=rss,hantavirus strain spread human find cruise ship passenger south africa health ministry say andes strain virus find confirm case link outbreak,social,social
"Hantavirus may have spread between passengers on cruise ship, WHO says","Two cases of the virus, which rarely spreads between humans, have been confirmed on the ship, and three people have died.",https://www.bbc.com/news/articles/cm2p186gyp2o?at_medium=RSS&at_campaign=rss,hantavirus spread passenger cruise ship say case virus rarely spread human confirm ship people die,social,economic
NHS cancer jab could save patients hours in hospital,Thousands of patients will be offered a new injectable form of an immunotherapy drug that takes minutes.,https://www.bbc.com/news/articles/cx214vld41ko?at_medium=RSS&at_campaign=rss,nhs cancer jab save patient hour hospital thousand patient offer new injectable form immunotherapy drug take minute,social,social
What death doulas can teach us about dying,Death doulas or soul midwives have increased in popularity in recent years. What do they do?,https://www.bbc.com/news/articles/cp9vp0ld1leo?at_medium=RSS&at_campaign=rss,death doula teach die death doula soul midwife increase popularity recent year,social,social
The struggle to get hold of medication in England is set to get worse  ,"People living with conditions include heart problems, stroke risks, eye infections and bipolar are unable to get hold of the drugs they rely on. ",https://www.bbc.com/news/articles/c202jqn3jzro?at_medium=RSS&at_campaign=rss,struggle hold medication england set bad people live condition include heart problem stroke risk eye infection bipolar unable hold drug rely,social,social
"Martha's Rule helplines get more than 1,700 calls from worried NHS staff",The scheme encourages staff and families to seek an urgent second opinion if they fear a patient's condition is worsening. ,https://www.bbc.com/news/articles/c4g9drqn2l3o?at_medium=RSS&at_campaign=rss,martha rule helpline call worried nhs staff scheme encourage staff family seek urgent second opinion fear patient condition worsen,social,political
'Amazing' moment for communities given right to buy for the first time,Ministers say the new law in England gives power to local people who want to help others. ,https://www.bbc.com/news/articles/clypwyzk71po?at_medium=RSS&at_campaign=rss,amazing moment community give right buy time minister new law england give power local people want help,social,political
Women can wait years for an endometriosis diagnosis. New tech could change that,"A new scan technique could spot areas of endometriosis missed by conventional scans, scientists say.",https://www.bbc.com/news/articles/clyplwvgxjvo?at_medium=RSS&at_campaign=rss,woman wait year endometriosis diagnosis new tech change new scan technique spot area endometriosis miss conventional scan scientist,social,social
"Claimants in Johnson & Johnson talcum powder case rise to 7,000","The case, which opened in the High Court on Wednesday, originally involved 3,000 claimants and is set to become the largest product liability case in UK history.",https://www.bbc.com/news/articles/c4g05q08y02o?at_medium=RSS&at_campaign=rss,claimants johnson johnson talcum powder case rise case open high court wednesday originally involve claimant set large product liability case history,social,social
Having hantavirus was 'hell on earth',Two survivors who caught the hantavirus years earlier told the BBC they both felt lucky to be alive.,https://www.bbc.com/news/articles/cy72xmk1114o?at_medium=RSS&at_campaign=rss,have hantavirus hell earth survivor catch hantavirus year early tell bbc feel lucky alive,social,social
Should you really trust health advice from an AI chatbot?,Abi has had very mixed results when asking a chatbot for guidance about her health issues.,https://www.bbc.com/news/articles/clyepyy82kxo?at_medium=RSS&at_campaign=rss,trust health advice chatbot abi mixed result ask chatbot guidance health issue,social,social
Why did resident doctors go on strike and how much are they paid?,Resident doctors in England have returned to work after the 15th walkout in a long-running dispute.,https://www.bbc.com/news/articles/cn0qyl4ljjko?at_medium=RSS&at_campaign=rss,resident doctor strike pay resident doctor england return work walkout long run dispute,social,economic
Hundreds contact BBC about mystery skin condition 'hell' - but doctors can't agree it exists,Some think it's a severe case of eczema. Others say it's a condition called TSW. But doctors are stuck in a dilemma.,https://www.bbc.com/news/articles/cly6xjpx6gjo?at_medium=RSS&at_campaign=rss,hundred contact bbc mystery skin condition hell doctor agree exist think severe case eczema condition call tsw doctor stick dilemma,social,social
What to do if you think someone has heat exhaustion or heatstroke,Know the signs and what to do if someone is unwell in hot weather.,https://www.bbc.com/news/articles/ckgl51jjp3jo?at_medium=RSS&at_campaign=rss,think heat exhaustion heatstroke know sign unwell hot weather,social,social
How to check whether you have bowel cancer,"What are the main symptoms and causes of bowel cancer, and how can you reduce your risk of getting it?",https://www.bbc.com/news/articles/c8egk985r80o?at_medium=RSS&at_campaign=rss,check bowel cancer main symptom cause bowel cancer reduce risk get,social,social
What are the symptoms of meningitis and how is it spread?,"Two people have died following an ""unpredecented"" outbreak of meningitis in Kent. ",https://www.bbc.com/news/articles/c7432klgyldo?at_medium=RSS&at_campaign=rss,symptom meningitis spread people die follow unpredecented outbreak meningitis kent,social,social
Could weight-loss jabs be behind rising gallbladder removals?,"Last year, there was a 15% annual increase in the operations and surgeons want more research.",https://www.bbc.com/news/articles/cm24evgyyzpo?at_medium=RSS&at_campaign=rss,weight loss jab rise gallbladder removal year annual increase operation surgeon want research,social,social
What is chickenpox and who can get an NHS vaccine?,The standard NHS childhood vaccination programme will include chickenpox from 2 January 2026.,https://www.bbc.com/news/articles/cn0rnqj52y5o?at_medium=RSS&at_campaign=rss,chickenpox nhs vaccine standard nhs childhood vaccination programme include chickenpox january,social,social
Caffeine pouch craze: A teenage trend troubling some experts,"Some social media influencers are pushing products to young gym-goers and students, health experts warn.",https://www.bbc.com/news/articles/cy8k8xgry98o?at_medium=RSS&at_campaign=rss,caffeine pouch craze teenage trend trouble expert social medium influencer push product young gym goer student health expert warn,social,social
Mother and baby mental health unit to go ahead,Mike Nesbitt says Northern Ireland's first regional mother and baby unit in should open within the next three years.,https://www.bbc.com/news/articles/c3v2k16vd17o?at_medium=RSS&at_campaign=rss,mother baby mental health unit ahead mike nesbitt say northern ireland regional mother baby unit open year,social,social
Sophie Raworth: 'I hope I can still run in my 80s',Sophie Raworth talks about the need for exercise as we get older.,https://www.bbc.com/news/videos/c93xpvvn3z5o?at_medium=RSS&at_campaign=rss,sophie raworth hope run sophie raworth talk need exercise old,social,social
'I paid for a private hysterectomy',"Rachel Moore spent years in debilitating chronic pain due to the womb disease, adenomyosis.",https://www.bbc.com/news/videos/cvg02k39d5no?at_medium=RSS&at_campaign=rss,pay private hysterectomy rachel moore spend year debilitate chronic pain womb disease adenomyosis,social,social
What NHS challenges does the election winner face?,"There are currently 687,958 people waiting for any type of NHS treatment in Wales.",https://www.bbc.com/news/videos/cly70zgjxpno?at_medium=RSS&at_campaign=rss,nhs challenge election winner face currently people wait type nhs treatment wale,social,political
Mums' choir leader 'baffled' by park fee structure,A postnatal choir leader says professional dog walkers pay less to use the city's parks.,https://www.bbc.com/news/articles/cdrpykmm0x5o?at_medium=RSS&at_campaign=rss,mums choir leader baffle park fee structure postnatal choir leader say professional dog walker pay use city park,social,economic
